Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
Poland,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Low-Iron Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/206,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Patterned or Textured Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/207,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Acid-Etched Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/208,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Smart Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/209,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Insulated Glass Units (IGUs),Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/210,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
United States ,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.217,,,,,,
India,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.647,,,,,,
United Kingdom,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.126,,,,,,
Rest-of-World,Glass,Colored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.463,,,,,,
,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,"Mnafacturing process of Insulated glass, in conformity with the standard of BS EN 1279:2018 - Insulated sealed glass units.(A4-A5)",57.0000,Total material weight of the product,EPD_Insulated Glass_China_S-P-11127_122023 122028.pdf,Keep out of backend updates,((320+2.4)*0.277777778)/211,0.4500,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise","EPD (The International EPD)
",,
China,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.376,,,,,,
Vietnam,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.283,,,,,,
Global,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.305,,,,,,
Czech Republic,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.298,,,,,,
France,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.035,,,,,,
Netherlands,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.199,,,,,,
Poland,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.432,,,,,,
Spain,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.091,,,,,,
Taiwan,Glass,Mirrored Glass,Whole process-Flat glass,EPD,Whole process of manufacturing Insulated glass is considered,,,,,0.347,,,,,,
